,,,,,,,,,,,,,,,,,,,,,,,
Short Date (month : year),NO,Error,NE,Error,CE,Error,SE,Error,SW,Error,CW,,NW,,Overall_mass_change,,,,,,,,
 Oct  : 10,-6.82E-01,,-2.12E+01,,8.08E+00,,6.38E+00,,-3.96E+01,,1.71E+00,,-1.70000000E+01,,-6.23000000E+01,,,,,,,,
 Nov  : 10,2.71E+00,,-6.52E+00,,2.74E+01,,-6.45E+00,,-3.24E+01,,-2.15E+01,,-2.27000000E+01,,-5.95000000E+01,,,,,,,,
 Dec  : 10,1.25E+00,,-1.51E+00,,-1.60E+01,,-5.35E+00,,-4.12E+01,,-1.32E+01,,-5.81000000E+00,,-8.19000000E+01,,,,,,,,
 Feb  : 11,4.30E+00,,-1.76E+01,,-1.51E-02,,-6.34E+00,,2.03E+01,,1.42E+01,,5.34E-02,,1.48E+01,,,,,,,,
 Mar  : 11,1.35E+01,,-1.41E+01,,1.86E+01,,-3.81E+01,,4.37E+01,,5.74E+00,,-1.34000000E+01,,1.58E+01,,,,,,,,
 Apr  : 11,1.45E+01,,-1.32E+01,,1.96E+01,,-8.10E+00,,2.09E+01,,1.24E+01,,-1.20000000E+01,,3.40E+01,,,,,,,,
 May  : 11,6.81E+00,,-3.49E+00,,1.63E+01,,8.34E+00,,-1.50E+01,,-9.57E+00,,-2.00000000E+01,,-1.67000000E+01,,,,,,,,
 Jul  : 11,-2.04E+01,,8.34E-01,,-2.90E+01,,-2.02E+01,,-6.95E+01,,-1.88E+01,,-6.28000000E+01,,-2.20000000E+02,,,,,,,,
 Aug  : 11,-4.58E+01,,-1.17E+01,,-5.34E+01,,-3.43E+01,,-1.30E+02,,-4.73E+01,,-6.59000000E+01,,-3.88000000E+02,,,,,,,,
 Sep  : 11,-4.25E+01,,-1.10E+01,,-6.47E+01,,-3.39E+01,,-1.50E+02,,-6.26E+01,,-7.27000000E+01,,-4.37000000E+02,,,,,,,,
 Oct  : 11,-4.84E+01,,-2.17E+01,,-4.85E+01,,-8.12E+01,,-1.38E+02,,-6.82E+01,,-7.59000000E+01,,-4.82000000E+02,,,,,,,,
 Oct  : 11,-4.29E+01,,-2.77E+01,,-5.37E+01,,-9.71E+01,,-1.21E+02,,-6.37E+01,,-6.94000000E+01,,-4.75000000E+02,,,,,,,,
 Dec  : 11,-4.60E+01,,-1.02E+01,,-3.54E+01,,-9.15E+01,,-9.64E+01,,-6.51E+01,,-8.28000000E+01,,-4.27000000E+02,,,,,,,,
 Jan  : 12,-4.84E+01,,-1.37E+01,,-2.50E+01,,-5.97E+01,,-1.30E+02,,-6.58E+01,,-8.62000000E+01,,-4.29000000E+02,,,,,,,,
 Feb  : 12,-4.45E+01,,-7.04E+00,,-3.68E+01,,-6.68E+00,,-1.48E+02,,-6.55E+01,,-9.30000000E+01,,-4.02000000E+02,,,,,,,,
 Mar  : 12,-2.54E+01,,-1.33E+01,,-5.54E+00,,-6.94E+01,,-8.34E+01,,-6.20E+01,,-9.10000000E+01,,-3.50000000E+02,,,,,,,,
 Apr  : 12,-2.65E+01,,-1.14E+01,,-2.77E+01,,-6.32E+01,,-6.78E+01,,-5.23E+01,,-9.31000000E+01,,-3.42000000E+02,,,,,,,,
 Jun  : 12,-4.74E+01,,6.99E+00,,5.42E+00,,-6.80E+01,,-9.72E+01,,-6.67E+01,,-1.16000000E+02,,-3.83000000E+02,,,,,,,,
 Jul  : 12,-6.00E+01,,3.48E+00,,-7.90E+01,,-5.53E+01,,-1.45E+02,,-7.03E+01,,-1.13000000E+02,,-5.19000000E+02,,,,,,,,
 Aug  : 12,-9.06E+01,,-2.09E+01,,-1.48E+02,,-9.48E+01,,-2.89E+02,,-1.08E+02,,-1.47000000E+02,,-8.99000000E+02,,,,,,,,
 Sep  : 12,-9.54E+01,,-2.33E+01,,-1.59E+02,,-1.52E+02,,-3.30E+02,,-1.32E+02,,-1.41000000E+02,,-1.03000000E+03,,,,,,,,
 Nov  : 12,-8.58E+01,,-3.47E+01,,-1.89E+02,,-1.05E+02,,-3.16E+02,,-1.02E+02,,-1.26000000E+02,,-9.59000000E+02,,,,,,,,
 Dec  : 12,-8.56E+01,,-3.05E+01,,-1.71E+02,,-1.22E+02,,-2.79E+02,,-1.01E+02,,-1.33000000E+02,,-9.22000000E+02,,,,,,,,
 Jan  : 13,-8.19E+01,,-2.12E+01,,-1.58E+02,,-9.52E+01,,-2.73E+02,,-1.16E+02,,-1.45000000E+02,,-8.90000000E+02,,,,,,,,
 Feb  : 13,-8.59E+01,,-3.60E+01,,-1.55E+02,,-1.12E+02,,-2.50E+02,,-1.12E+02,,-1.55000000E+02,,-9.06000000E+02,,,,,,,,
 Apr  : 13,-9.38E+01,,-1.11E+01,,-1.38E+02,,-6.29E+01,,-2.98E+02,,-1.39E+02,,-1.77000000E+02,,-9.21000000E+02,,,,,,,,
 May  : 13,-8.36E+01,,-2.46E+01,,-1.35E+02,,-8.30E+01,,-2.43E+02,,-1.10E+02,,-1.63000000E+02,,-8.43000000E+02,,,,,,,,
 Jun  : 13,-7.31E+01,,-2.04E+01,,-1.44E+02,,-1.10E+02,,-1.98E+02,,-9.35E+01,,-1.61000000E+02,,-7.99000000E+02,,,,,,,,
 Jul  : 13,-8.52E+01,,-4.31E+01,,-1.75E+02,,-1.13E+02,,-2.30E+02,,-1.32E+02,,-1.78000000E+02,,-9.57000000E+02,,,,,,,,
 Oct  : 13,-9.66E+01,,-1.53E+01,,-2.12E+02,,-1.11E+02,,-3.05E+02,,-1.16E+02,,-1.71000000E+02,,-1.03000000E+03,,,,,,,,
 Nov  : 13,-7.61E+01,,-1.91E+01,,-2.12E+02,,-1.50E+02,,-2.59E+02,,-1.24E+02,,-1.81000000E+02,,-1.02000000E+03,,,,,,,,
 Dec  : 13,-7.62E+01,,-2.46E+01,,-1.87E+02,,-1.44E+02,,-2.43E+02,,-1.21E+02,,-1.79000000E+02,,-9.75000000E+02,,,,,,,,
 Jan  : 14,-8.71E+01,,-2.28E+00,,-1.66E+02,,-1.06E+02,,-2.95E+02,,-1.44E+02,,-1.92000000E+02,,-9.93000000E+02,,,,,,,,
