Date,sw_grace_gt_month,sw_grace_diff_gt_month,sw_avg_ice_disch_gt_month,sw_runoff_gt_month,sw_sum_ppt_gt_each_month,sw_monthly_avg_temp_2m_K,sw_total_ice_loss_gt_month,sw_ice_discharge_percent,sw_grace_diffs_gt_month
2016-04-30,,,1.6442430415789473,0.590038493,11.12376982,263.3330489,-2.2342815345789475,73.5915781485795,
2016-05-31,-307.0,-3.0,1.7067527758181817,2.468347458,10.70741468,264.0621615,-4.175100233818182,40.87932457270217,9.532314446181818
2016-06-30,-300.0,7.0,1.5949122729230771,23.18861438,12.12298271,270.7713794,-24.78352665292308,6.435372557177879,-19.660543942923077
2016-07-31,-360.0,-60.0,1.512673141652174,49.60657371,2.324014039,271.3615351,-51.11924685165217,2.959106862512949,11.204767187347827
2016-08-31,-477.0,-117.0,1.4003609709999998,35.39374469,5.771634857,270.9952422,-36.794105660999996,3.805938331270043,85.977529196
2016-09-30,,,1.3580722957142857,1.442583322,6.743042067,262.8034963,-2.800655617714286,48.491227808389255,
2016-10-31,,,1.4737505765333334,0.16477538,13.50193218,257.8815869,-1.6385259565333334,89.94368204281493,
2016-11-30,-445.0,32.0,1.4745504128235294,0.12839663,18.43138884,254.8307442,-1.6029470428235295,91.98996432384725,-15.17155820282353
2016-12-31,-505.0,-60.0,1.5570908152,0.066067543,5.559679799,250.2013799,-1.6231583582,95.92969209281185,63.9365214408
2017-01-31,-401.0,104.0,1.5841135068095238,0.060135768,14.03814171,251.0526753,-1.6442492748095239,96.34266112071319,-91.60610756480952
2017-02-28,,,1.4542143674210528,0.048642538,7.987964997,251.1765654,-1.5028569054210528,96.76332870917129,
2017-03-31,-387.0,14.0,1.63259137,0.049548798,5.4654328,251.2445104,-1.682140168,97.05441918916236,-10.216707368
2017-04-30,-409.0,-22.0,1.6236820648333332,0.077882397,10.06008773,255.0298264,-1.7015644618333332,95.42289470972575,30.358523268166664
2017-05-31,-382.0,27.0,1.7249080614761905,1.886199243,7.914136587,266.6441798,-3.6111073044761905,47.766735132408286,-22.69697071747619
2017-06-30,-407.0,-25.0,1.6484156551428573,15.29120833,3.717405786,268.2088211,-16.93962398514286,9.731123055556747,11.777781800857143
2017-07-31,,,1.6448880995,26.7130767,14.05178752,269.341361,-28.3579647995,5.800444817284639,
2017-08-31,,,1.52138378676,26.74890712,23.17881713,269.7192465,-28.27029090676,5.381563959768827,
2017-09-30,,,1.445985818470588,5.52299346,15.76311607,263.2320555,-6.968979278470588,20.74888962487953,
2017-10-31,,,1.4900324620833334,1.037295008,16.6687996,260.3298341,-2.5273274700833337,58.956841949500216,
2017-11-30,,,1.4677123853076923,0.220091469,15.00524436,254.4886398,-1.6878038543076923,86.95989060350394,
2017-12-31,,,1.5314233165,0.091845266,8.16463072,252.795708,-1.6232685825,94.34195505351623,
2018-01-31,,,1.5422509100625,0.07008263,3.855067821,248.0761337,-1.6123335400624998,95.65334167784643,
2018-02-28,,,1.4160347444999999,0.050988317,8.506050604,244.8928688,-1.4670230615,96.52436840714245,
2018-03-31,,,1.5816570804545456,0.072641562,1.839091464,252.1887307,-1.6542986424545456,95.60892089639758,
2018-04-30,,,1.5524227107857143,0.162475473,5.456691377,257.5012706,-1.7148981837857142,90.5256490130902,
2018-05-31,,,1.6066501253333334,0.161627335,9.01085055,258.3677062,-1.7682774603333333,90.85961685167146,
2018-06-30,-434.0,-27.0,1.596610978521739,8.953045163,15.40764624,268.833574,-10.549656141521739,15.13424662475715,31.85799009847826
2018-07-31,-456.0,-22.0,1.6124240856,29.45455386,17.35811327,270.6200128,-31.0669779456,5.190154280289006,8.291135324399999
2018-08-31,,,1.5309027776190476,19.9841751,14.07254082,268.3008933,-21.51507787761905,7.115487967680384,
2018-09-30,,,1.492458050875,0.986214044,15.12457003,261.9022295,-2.478672094875,60.212000367489715,
2018-10-31,-507.0,-51.0,1.572856635181818,0.166151124,8.742357601,252.4866368,-1.739007759181818,90.44563641980689,58.00334984181818
2018-11-30,-503.0,4.0,1.5408296912000001,0.086942267,5.08059317,254.5650704,-1.6277719582,94.65881774397064,-0.5471787882000001
2018-12-31,-471.0,32.0,1.6140949607272725,0.0741258,8.806345597,255.2756069,-1.6882207607272726,95.60923537227043,-24.881875163727273
