Date,CE,CW,NE,NO,NW,SE,SW,,,,,,,,,
3/15/1998,5.640379552,5.966557129,1.679116831,1.766227185,7.780463125,10.92943514,1.674307709,,1/1/1998,5.607776559,5.911334922,1.710353927,1.836850825,7.59849358,10.93301208,1.636293221
4/15/1998,5.429978633,5.805734878,1.616605858,1.690121521,7.516169665,10.53354004,1.626818395,,3/15/1998,5.640379552,5.966557129,1.679116831,1.766227185,7.780463125,10.92943514,1.674307709
5/15/1998,5.700345157,5.957423007,1.814110093,1.861533215,7.745603131,11.03452507,1.699265888,,4/15/1998,5.429978633,5.805734878,1.616605858,1.690121521,7.516169665,10.53354004,1.626818395
6/15/1998,5.57731629,5.938535737,1.897454126,2.329738428,7.598983101,10.69226765,1.554302448,,5/15/1998,5.700345157,5.957423007,1.814110093,1.861533215,7.745603131,11.03452507,1.699265888
7/15/1998,5.736071669,6.432047166,2.057965316,2.057618594,7.789273094,11.13819078,1.537351896,,6/15/1998,5.57731629,5.938535737,1.897454126,2.329738428,7.598983101,10.69226765,1.554302448
8/15/1998,5.641692401,6.36900894,2.055738326,1.713860049,7.532117766,11.62254388,1.450559262,,7/15/1998,5.736071669,6.432047166,2.057965316,2.057618594,7.789273094,11.13819078,1.537351896
9/15/1998,5.355544243,5.890411243,1.765879689,1.709707761,7.226617048,10.25489771,1.413885908,,8/15/1998,5.641692401,6.36900894,2.055738326,1.713860049,7.532117766,11.62254388,1.450559262
10/15/1998,5.633277763,6.097453171,1.832604109,1.817815559,7.443621551,11.26651312,1.471151383,,9/15/1998,5.355544243,5.890411243,1.765879689,1.709707761,7.226617048,10.25489771,1.413885908
1/1/1999,5.654868851,6.125344549,1.853042564,1.950647605,7.381545495,11.20779493,1.497583387,,10/15/1998,5.633277763,6.097453171,1.832604109,1.817815559,7.443621551,11.26651312,1.471151383
7/15/1999,5.706969659,6.248837284,1.872493209,2.282262876,7.554048986,11.06106501,1.594628842,,1/1/1999,5.654868851,6.125344549,1.853042564,1.950647605,7.381545495,11.20779493,1.497583387
8/15/1999,5.567372166,6.248951727,1.83667256,2.252012997,7.5088905,11.04053139,1.57943209,,7/15/1999,5.706969659,6.248837284,1.872493209,2.282262876,7.554048986,11.06106501,1.594628842
9/15/1999,5.388635413,6.082153013,1.740773807,2.150119551,7.37725889,11.1516493,1.510898558,,8/15/1999,5.567372166,6.248951727,1.83667256,2.252012997,7.5088905,11.04053139,1.57943209
10/15/1999,5.604902195,6.252515765,1.823627425,2.192548373,7.667792857,11.35953955,1.589839574,,9/15/1999,5.388635413,6.082153013,1.740773807,2.150119551,7.37725889,11.1516493,1.510898558
11/15/1999,5.425949593,6.084782392,1.774737428,2.092585213,7.428113925,10.91958658,1.548206424,,10/15/1999,5.604902195,6.252515765,1.823627425,2.192548373,7.667792857,11.35953955,1.589839574
12/15/1999,5.608656125,6.321575597,1.843831274,2.133108295,7.683377054,11.19218614,1.619443035,,11/15/1999,5.425949593,6.084782392,1.774737428,2.092585213,7.428113925,10.91958658,1.548206424
1/1/2000,5.594368634,6.311682482,1.844408129,2.110764484,7.666708341,11.11086543,1.626109608,,12/15/1999,5.608656125,6.321575597,1.843831274,2.133108295,7.683377054,11.19218614,1.619443035
2/15/2000,5.166489353,5.925067614,1.764252441,1.933697337,7.125149991,10.25468735,1.576037291,,1/1/2000,5.594368634,6.311682482,1.844408129,2.110764484,7.666708341,11.11086543,1.626109608
3/15/2000,5.534824434,6.251101908,1.905644714,2.038894997,7.618845238,10.88536268,1.713419327,,2/15/2000,5.166489353,5.925067614,1.764252441,1.933697337,7.125149991,10.25468735,1.576037291
4/15/2000,5.496601917,6.286143537,1.878172753,1.943998274,7.091358612,10.84117361,1.691960168,,3/15/2000,5.534824434,6.251101908,1.905644714,2.038894997,7.618845238,10.88536268,1.713419327
5/15/2000,5.701499122,6.630671576,1.960911544,1.979678318,7.425819963,10.82411453,1.793885638,,4/15/2000,5.496601917,6.286143537,1.878172753,1.943998274,7.091358612,10.84117361,1.691960168
6/15/2000,5.609485829,6.495279214,1.941245054,1.91184111,7.445723552,10.93008411,1.694866985,,5/15/2000,5.701499122,6.630671576,1.960911544,1.979678318,7.425819963,10.82411453,1.793885638
7/15/2000,5.702538414,7.011811373,1.757254915,2.281745134,8.094754305,10.69282134,1.795050622,,6/15/2000,5.609485829,6.495279214,1.941245054,1.91184111,7.445723552,10.93008411,1.694866985
