,sw_grace_gt_month,sw_grace_diff_gt_month,sw_avg_ice_disch_gt_month,sw_runoff_gt_month,sw_sum_ppt_gt_each_month,sw_monthly_avg_temp_2m_K,sw_total_ice_loss_gt_month,sw_ice_discharge_percent,sw_grace_diffs_gt_month
2013-05-31,-243.0,55.0,1.6674356294375001,0.2053906,14.5132563,259.9275566,-1.858764542,88.95015504335997,-42.345508242
2013-06-30,-198.0,45.0,1.6805889607692306,11.10631612,7.102915111,269.0636342,,,
2013-07-31,-230.0,-32.0,1.746093037388889,31.05787409,10.54733539,270.3088104,,,
2013-08-31,,,1.7313767692380952,18.68486171,12.37548278,267.6258012,-20.438854795,8.581660286705901,
2013-09-30,,,1.5829073347692306,1.697209934,22.03727474,263.6696767,-3.320912478,48.893265172042874,
2013-10-31,-305.0,-75.0,1.6134926419166666,0.170083117,10.66449587,258.2704389,,,
2013-11-30,-259.0,46.0,1.5942311772222222,0.107713989,21.72642115,254.3402162,,,
2013-12-31,-243.0,16.0,1.65185994955,0.080158226,3.608645627,247.2948777,-1.727741758,95.36052042333053,-14.119096131
2014-01-31,-295.0,-52.0,1.6861993155,0.067572471,6.405279983,251.3733211,,,
2014-02-28,,,1.5274888034375,0.052430567,2.916542404,250.899289,-1.579464134,96.68048385073365,
2014-03-31,-212.0,83.0,1.686966846375,0.054993136,6.465021347,249.4548292,,,
2014-04-30,-237.0,-25.0,1.6496795035,0.065440044,10.28487835,255.8073109,,,
2014-05-31,-220.0,17.0,1.7299048178235292,0.633202776,8.192124032,263.2317279,-2.349327583,73.04748896739956,-11.157203550999998
2014-06-30,-254.0,-34.0,1.6857492353703705,12.74896999,12.21158464,269.490009,-14.440296874000001,11.712549255446838,31.771287766
2014-07-31,,,1.6265354103333334,38.38116329,4.621419693,271.257203,-40.065360452,4.203624135661377,
2014-08-31,-376.0,-122.0,1.5528862693478263,31.7510472,11.04870867,270.1087897,,,
2014-09-30,-338.0,38.0,1.4932354192727273,4.099310401,24.48343025,264.2047482,-5.591617737,26.688293195104013,-19.108187487
2014-10-31,-358.0,-20.0,1.5492147951818183,0.167192121,6.648441292,255.8424442,,,
2014-11-30,-335.0,23.0,1.4887218028571427,0.093625687,6.035614188,253.2675357,-1.586119532,94.09718592381599,-18.550505344
2014-12-31,,,1.5682362739047617,0.086384776,14.42839144,248.8371073,-1.636461688,94.72124666080175,
2015-01-31,-427.0,-92.0,1.5988180460625,0.063901443,6.961865337,244.9767664,-1.645406244,96.11637288766724,97.316459093
2015-02-28,-322.0,105.0,1.4648764442352942,0.094443147,12.69019409,244.8510321,-1.549337243,93.90428730563988,-93.859143153
2015-03-31,-308.0,14.0,1.6661102234444443,0.050705032,5.056226177,249.0514176,-1.699893259,97.01716377004587,-10.643667082
2015-04-30,-327.0,-19.0,1.6281550468125,0.055812225,8.496382636,255.3407848,-1.675877193,96.66967095004794,25.820505443
2015-05-31,,,1.720252832375,0.191023889,9.800897979,260.8014378,-1.882035337,89.85014333979001,
2015-06-30,,,1.7110246305454546,7.109288949,7.483942308,268.2561478,-8.81252973,19.327489758153703,
2015-07-31,-342.0,-15.0,1.7126217877083334,32.60251166,3.51873677,271.0337473,-34.349797587,5.086743007945051,-15.831060816999997
2015-08-31,-358.0,-16.0,1.6599238876428573,14.00792966,13.96019461,267.8786721,-15.690139731,10.721447353820256,14.270054879
2015-09-30,-382.0,-24.0,1.5439031582272726,5.081738742,19.36318713,264.5327953,-6.653893998,23.627596960104142,36.709293132
2015-10-31,,,1.5793708075882353,0.399074405,15.26637439,256.6605707,-1.971611621,79.75897480267489,
2015-11-30,,,1.551231668,0.100379812,7.281633306,250.1508482,-1.6408533959999998,93.88246309848878,
2015-12-31,-367.0,15.0,1.6217396865000002,0.075590146,4.218134424,246.7783724,-1.6906128029999998,95.52883156534335,-12.472478379
2016-01-31,-331.0,36.0,1.6310013454705883,0.061176416,3.734668983,252.4824407,-1.6849857529999999,96.36932146808485,-33.95031677
2016-02-29,-333.0,-2.0,1.538620215,0.050519523,5.884224664,251.1625741,-1.582174862,96.80695704290618,6.302049802
2016-03-31,-304.0,29.0,1.6646308909285714,0.062809415,7.030652109,254.1957327,-1.7162669320000001,96.34034695717133,-23.685614823
2016-04-30,,,1.6442430415789473,0.590038493,11.12376982,263.3330489,-2.2227966820000002,73.45512984709413,
2016-05-31,-307.0,-3.0,1.7067527758181817,2.468347458,10.70741468,264.0621615,-4.1752236080000005,40.881071536612176,9.532191072
2016-06-30,-300.0,7.0,1.5949122729230771,23.18861438,12.12298271,270.7713794,-24.838050896000002,6.640764699719777,-19.715068186
2016-07-31,-360.0,-60.0,1.512673141652174,49.60657371,2.324014039,271.3615351,-51.168246138,3.052034310084017,11.155767900999997
2016-08-31,-477.0,-117.0,1.4003609709999998,35.39374469,5.771634857,270.9952422,-36.837953746,3.920437779899264,85.933681111
2016-09-30,,,1.3580722957142857,1.442583322,6.743042067,262.8034963,-2.77067533,47.93387350801582,
2016-10-31,,,1.4737505765333334,0.16477538,13.50193218,257.8815869,-1.618648295,89.82018635493635,
2016-11-30,-445.0,32.0,1.4745504128235294,0.12839663,18.43138884,254.8307442,-1.5772561139999999,91.8594939109553,-15.145867274
2016-12-31,-505.0,-60.0,1.5570908152,0.066067543,5.559679799,250.2013799,-1.6083272469999998,95.89215794713202,63.951352552
2017-01-31,-401.0,104.0,1.5841135068095238,0.060135768,14.03814171,251.0526753,-1.63462922,96.32113709554268,-91.59648751
2017-02-28,,,1.4542143674210528,0.048642538,7.987964997,251.1765654,-1.491004764,96.73760009528716,
2017-03-31,-387.0,14.0,1.63259137,0.049548798,5.4654328,251.2445104,-1.670217756,97.03339293202916,-10.204784956
2017-04-30,-409.0,-22.0,1.6236820648333332,0.077882397,10.06008773,255.0298264,-1.677206778,95.35642247446248,30.382880952
2017-05-31,-382.0,27.0,1.7249080614761905,1.886199243,7.914136587,266.6441798,-3.600208958,47.60861758291309,-22.686072371
2017-06-30,-407.0,-25.0,1.6484156551428573,15.29120833,3.717405786,268.2088211,-16.947093779,9.770910992726618,11.770312007000001
2017-07-31,,,1.6448880995,26.7130767,14.05178752,269.341361,-28.401581071,5.945106952950873,
2017-08-31,,,1.52138378676,26.74890712,23.17881713,269.7192465,-28.310376185,5.515536264146608,
2017-09-30,,,1.445985818470588,5.52299346,15.76311607,263.2320555,-6.985213044,20.933070685023477,
2017-10-31,,,1.4900324620833334,1.037295008,16.6687996,260.3298341,-2.495401693,58.431742235737914,
2017-11-30,,,1.4677123853076923,0.220091469,15.00524436,254.4886398,-1.689240893,86.97098383587378,
2017-12-31,,,1.5314233165,0.091845266,8.16463072,252.795708,-1.620869715,94.33358121568703,
2018-01-31,,,1.5422509100625,0.07008263,3.855067821,248.0761337,-1.605195896,95.63401388113193,
2018-02-28,,,1.4160347444999999,0.050988317,8.506050604,244.8928688,-1.458372915,96.50375315699003,
2018-03-31,,,1.5816570804545456,0.072641562,1.839091464,252.1887307,-1.644594257,95.58301011384354,
2018-04-30,,,1.5524227107857143,0.162475473,5.456691377,257.5012706,-1.701475578,90.45090772381336,
2018-05-31,,,1.6066501253333334,0.161627335,9.01085055,258.3677062,-1.764903344,90.84214240119883,
2018-06-30,-434.0,-27.0,1.596610978521739,8.953045163,15.40764624,268.833574,-10.543626034,15.08571022787472,31.864020206
2018-07-31,-456.0,-22.0,1.6124240856,29.45455386,17.35811327,270.6200128,-31.105724321,5.308252731749657,8.252388949
2018-08-31,,,1.5309027776190476,19.9841751,14.07254082,268.3008933,-21.526758212,7.16588673876633,
2018-09-30,,,1.492458050875,0.986214044,15.12457003,261.9022295,-2.468921511,60.05486445777903,
2018-10-31,-507.0,-51.0,1.572856635181818,0.166151124,8.742357601,252.4866368,-1.733038043,90.41272494443447,58.009319558
2018-11-30,-503.0,4.0,1.5408296912000001,0.086942267,5.08059317,254.5650704,-1.618082564,94.62683370216453,-0.5374893940000005
2018-12-31,-471.0,32.0,1.6140949607272725,0.0741258,8.806345597,255.2756069,-1.676408456,95.57829717842941,-24.870062859
