Year,Month,SE,CE,NE,NO,NW,CW,SW
2012,3,24.03900923,16.96341499,10.7092584,1.854765947,4.414831047,7.591657535,12.18035034
2012,4,14.78416456,4.280381172,2.314984514,1.493192826,4.023317845,16.29020179,17.80900232
2012,5,6.311934439,3.896800028,3.867570392,3.952302716,11.25553188,10.60650794,11.61831058
2012,6,1.568808621,1.507179106,6.889788125,10.14711693,19.71692423,6.090988046,4.380803006
2012,7,7.932506771,3.331821407,7.520169861,4.757861185,11.13008139,9.40334132,16.68818285
2012,8,7.565230996,3.481559566,9.100045242,5.568716751,16.47348993,7.724118257,12.0836856
2012,9,8.605438211,5.451666794,7.941240764,3.097636286,10.17029538,12.97680132,24.9929248
2012,10,24.12423355,12.22590982,4.672832587,3.514438081,15.9787092,14.1455543,19.72333444
2012,11,18.82459542,5.682790484,4.105798753,1.483211238,7.747422363,8.981040963,16.01288483
2012,12,25.44353028,7.744949215,1.581808166,1.667343121,4.705872634,7.293017513,6.030074571
2013,1,43.69304106,19.60103222,5.326000292,1.588908472,1.889324762,3.561501903,5.484188153
2013,2,17.90411175,22.29912835,2.686616799,0.7145179098,3.091976797,5.952639555,6.291737846
2013,3,11.09147995,2.358268842,3.620901807,3.726069361,8.297864488,6.113369632,3.792162395
2013,4,10.83362142,2.33585187,1.93287967,1.956390588,6.656586523,4.922928721,7.448797657
2013,5,14.98525625,14.15292081,5.346924086,2.155458738,5.142530409,11.79742218,14.5132563
2013,6,17.14229195,6.304008321,2.781694479,8.647817685,11.03006274,3.072065785,7.102915111
2013,7,8.780078041,4.839559106,6.760549571,3.836844037,12.24604368,7.983793335,10.54733539
2013,8,6.155501705,15.25643613,14.75123336,14.31310764,15.11297052,9.185600043,12.37548278
2013,9,13.45245248,11.60130361,28.78562277,4.595820935,12.42408629,11.8040127,22.03727474
2013,10,11.08813021,8.320472235,5.120166141,4.482119105,11.30913415,8.934799446,10.66449587
2013,11,15.24766186,5.925641079,2.365629169,1.570643136,5.650677776,11.70942989,21.72642115
2013,12,15.17183839,10.41267988,8.831144034,1.333037092,1.190033944,1.80861675,3.608645627
2014,1,29.85546884,20.61220899,4.541574554,0.2828091754,2.160155736,3.955047672,6.405279983
2014,2,28.78116719,4.333727108,0.624943249,0.2438001233,1.648232937,2.622742349,2.916542404
2014,3,14.89635063,13.74232847,6.394437084,1.528372371,2.075176164,3.35889143,6.465021347
2014,4,22.84761212,11.19643723,2.164316665,1.614883976,5.394404183,10.24573419,10.28487835
2014,5,9.698480811,12.2459207,3.938780609,3.041646582,6.0222555,7.619405042,8.192124032
2014,6,12.84733036,4.022412974,3.812935407,6.278260308,16.71219896,5.747660646,12.21158464
2014,7,3.31550723,9.902846721,10.16829444,8.762377862,12.45507394,3.206712387,4.621419693
2014,8,9.998692871,8.054534159,12.38128792,4.107693537,22.03614347,19.7169082,11.04870867
2014,9,25.91864844,21.3881086,6.270052441,2.317109454,7.45676861,15.45940631,24.48343025
2014,10,2.837087351,9.751628642,18.32133279,3.472710489,4.058901947,4.43515809,6.648441292
